Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id.84	gene_type.84	chr	start	stop	loc.84	gene_name.107	gene_type.107	chr.107	start.107	stop.107	loc.107	gene_id.107
GCH1	GCH1	322.036696597194	0.0212106273842484	0.229740647229338	0.092324225773922	0.926440441182941	0.99003079983012	ENSG00000131979	protein_coding	chr14	54842008	54902852	chr14:54842008	GCH1	protein_coding	chr14	54842008	54902826	chr14:54842008	ENSG00000131979
GCLC	GCLC	816.25398735481	-0.0154501758001298	0.0894453636439553	-0.172733109584422	0.862861217273663	0.980542779134001	ENSG00000001084	protein_coding	chr6	53497341	53616970	chr6:53497341	GCLC	protein_coding	chr6	53497341	53616970	chr6:53497341	ENSG00000001084
GCLM	GCLM	3939.59525006769	0.152066102607109	0.050849136855742	2.99053458937794	0.00278489587032128	0.179876880804358	ENSG00000023909	protein_coding	chr1	93885205	93909456	chr1:93885205	GCLM	protein_coding	chr1	93885199	93909456	chr1:93885199	ENSG00000023909
GCN1	GCN1	7792.32109337271	-0.01869763307153	0.0560254926886634	-0.333734380087182	0.738580003966476	0.963177034740913	ENSG00000089154	protein_coding	chr12	120127203	120194710	chr12:120127203	GCN1	protein_coding	chr12	120127202	120194715	chr12:120127202	ENSG00000089154
GCNT1	GCNT1	2064.61703170141	0.0585326173584713	0.11310247532567	0.517518446788464	0.604794295173719	0.928498719574014	ENSG00000187210	protein_coding	chr9	76419850	76507416	chr9:76419850	GCNT1	protein_coding	chr9	76419850	76651203	chr9:76419850	ENSG00000187210
GCNT4	GCNT4	644.289151059815	-0.0156273832526483	0.223068978201889	-0.0700562820461063	0.944148863038031	0.992384345653815	ENSG00000176928	protein_coding	chr5	75025346	75030899	chr5:75025346	GCNT4	protein_coding	chr5	75025346	75052558	chr5:75025346	ENSG00000176928
GCSH	GCSH	1548.19466962444	-0.0883797784037083	0.0976805692684634	-0.904783613215921	0.365580034614589	0.854103969052975	ENSG00000140905	protein_coding	chr16	81081961	81096403	chr16:81081961	GCSH	protein_coding	chr16	81081945	81096395	chr16:81081945	ENSG00000140905
GDAP1	GDAP1	547.069219401098	0.0461614363064625	0.121990873188354	0.37840073687471	0.705132920870617	0.957039513979895	ENSG00000104381	protein_coding	chr8	74321130	74488872	chr8:74321130	GDAP1	protein_coding	chr8	74320613	74518007	chr8:74320613	ENSG00000104381
GDAP2	GDAP2	1196.98185441178	-0.0396781040524997	0.0517788935809221	-0.766298800697415	0.443498531758145	0.881165206942058	ENSG00000196505	protein_coding	chr1	117863485	117929630	chr1:117863485	GDAP2	protein_coding	chr1	117863485	117929621	chr1:117863485	ENSG00000196505
GDE1	GDE1	4836.61944120042	-0.074402055532067	0.0535625196985318	-1.38906937072466	0.164811656548665	0.717625695551838	ENSG00000006007	protein_coding	chr16	19501689	19522145	chr16:19501689	GDE1	protein_coding	chr16	19501693	19522123	chr16:19501693	ENSG00000006007
GDF11	GDF11	1856.68784394352	-0.202671634225538	0.056765805009156	-3.57031198963615	0.000356556296713107	0.0571733875776016	ENSG00000135414	protein_coding	chr12	55743280	55757278	chr12:55743280	GDF11	protein_coding	chr12	55743122	55757264	chr12:55743122	ENSG00000135414
GDF15	GDF15	441.448402323317	-0.710140591460639	0.255680108074702	-2.77745733451097	0.0054786032232517	0.238786148018035	ENSG00000130513	protein_coding	chr19	18374731	18389176	chr19:18374731	GDF15	protein_coding	chr19	18374731	18389176	chr19:18374731	ENSG00000130513
GDF5	GDF5	310.177008605184	-0.134122852269743	0.298690382533045	-0.449036393915044	0.653405403082823	0.942444691461578	ENSG00000125965	protein_coding	chr20	35433347	35454746	chr20:35433347	GDF5	protein_coding	chr20	35433347	35454746	chr20:35433347	ENSG00000125965
GDF6	GDF6	333.385430572984	-0.465938026255282	0.332737648900368	-1.40031651902066	0.16141855628492	0.714479823838562	ENSG00000156466	protein_coding	chr8	96142330	96160792	chr8:96142330	GDF6	protein_coding	chr8	96142333	96160806	chr8:96142333	ENSG00000156466
GDI1	GDI1	8292.6153131132	-0.122099432506657	0.0763774147986006	-1.59863269565513	0.109902240415077	0.650654824025437	ENSG00000203879	protein_coding	chrX	154436913	154443467	chrX:154436913	GDI1	protein_coding	chrX	154436913	154443467	chrX:154436913	ENSG00000203879
GDI2	GDI2	23329.2459816741	-0.0269251528515933	0.0436245543497177	-0.61720178585085	0.537101637945604	0.909453453490218	ENSG00000057608	protein_coding	chr10	5765223	5842132	chr10:5765223	GDI2	protein_coding	chr10	5765223	5842132	chr10:5765223	ENSG00000057608
GDNF	GDNF	1435.38243567282	0.244634382109617	0.190207074563784	1.28614765076775	0.198391536762214	0.74747534664155	ENSG00000168621	protein_coding	chr5	37812677	37839686	chr5:37812677	GDNF	protein_coding	chr5	37812677	37840041	chr5:37812677	ENSG00000168621
GDNF-AS1	GDNF-AS1	65.1589910694434	0.127228944993829	0.222309784305839	0.572304747589497	0.567115533926294	0.918035063616726	ENSG00000248587	lincRNA	chr5	37840438	37875799	chr5:37840438	GDNF-AS1	lncRNA	chr5	37811589	37953827	chr5:37811589	ENSG00000248587
GDPD5	GDPD5	696.189932818536	0.125537537458558	0.125844402799571	0.997561549547013	0.318492013874869	0.828721921378592	ENSG00000158555	protein_coding	chr11	75434640	75525903	chr11:75434640	GDPD5	protein_coding	chr11	75434640	75525941	chr11:75434640	ENSG00000158555
GEM	GEM	891.456337133582	-0.175412569123742	0.132513096251721	-1.32373760847402	0.185590203545244	0.738390842116383	ENSG00000164949	protein_coding	chr8	94249253	94262350	chr8:94249253	GEM	protein_coding	chr8	94249253	94262350	chr8:94249253	ENSG00000164949
GEMIN2	GEMIN2	530.896796584879	-0.116218613727589	0.0830769485893449	-1.39892732822995	0.161834776570006	0.714569186880184	ENSG00000092208	protein_coding	chr14	39114223	39136973	chr14:39114223	GEMIN2	protein_coding	chr14	39114285	39136973	chr14:39114285	ENSG00000092208
GEMIN4	GEMIN4	1586.97842376338	-0.0359977625904266	0.11549155121937	-0.311691740307919	0.755274805752166	0.965910585308102	ENSG00000179409	protein_coding	chr17	744414	753999	chr17:744414	GEMIN4	protein_coding	chr17	744421	753999	chr17:744421	ENSG00000179409
GEMIN5	GEMIN5	2124.3898418521	-0.0266237236441581	0.0819693735492373	-0.324800867584596	0.745331787879751	0.963931377763261	ENSG00000082516	protein_coding	chr5	154887416	154938209	chr5:154887416	GEMIN5	protein_coding	chr5	154887411	154938211	chr5:154887411	ENSG00000082516
GEMIN6	GEMIN6	614.198802870942	0.0323897365766693	0.109004731827794	0.297140647323812	0.766359132913661	0.967508234265255	ENSG00000152147	protein_coding	chr2	38751534	38785000	chr2:38751534	GEMIN6	protein_coding	chr2	38751534	38785002	chr2:38751534	ENSG00000152147
GEMIN7	GEMIN7	702.007417430758	-0.0499655377422716	0.0679932190641396	-0.734860599777427	0.462424396021056	0.885994352768571	ENSG00000142252	protein_coding	chr19	45079195	45091524	chr19:45079195	GEMIN7	protein_coding	chr19	45079195	45091518	chr19:45079195	ENSG00000142252
GEMIN8	GEMIN8	528.560442053936	0.0320355270111887	0.0890623247589536	0.359697853137032	0.719073097682628	0.958671437815385	ENSG00000046647	protein_coding	chrX	14008279	14029893	chrX:14008279	GEMIN8	protein_coding	chrX	14006726	14029893	chrX:14006726	ENSG00000046647
GEN1	GEN1	1235.25231442999	0.0698103115109738	0.15180592657068	0.459865520984586	0.645612749912005	0.940728043759002	ENSG00000178295	protein_coding	chr2	17753858	17788941	chr2:17753858	GEN1	protein_coding	chr2	17753858	17788946	chr2:17753858	ENSG00000178295
GET4	GET4	1124.05365560804	-0.100299725142451	0.0786049218616237	-1.27599802616711	0.201956216840521	0.750495057089866	ENSG00000239857	protein_coding	chr7	876552	896436	chr7:876552	GET4	protein_coding	chr7	876554	896436	chr7:876554	ENSG00000239857
GFER	GFER	758.482386781015	-0.153191293333468	0.071317636774734	-2.14801415556354	0.0317126309491214	0.456260884619936	ENSG00000127554	protein_coding	chr16	1984207	1987749	chr16:1984207	GFER	protein_coding	chr16	1984193	1987749	chr16:1984193	ENSG00000127554
GFM1	GFM1	3941.19455228375	-0.0717721888845113	0.063389975644429	-1.13223247295598	0.257536711218701	0.789318735099249	ENSG00000168827	protein_coding	chr3	158644278	158692575	chr3:158644278	GFM1	protein_coding	chr3	158644527	158695581	chr3:158644527	ENSG00000168827
GFM2	GFM2	2175.83389333415	-0.0566095982692803	0.0775046158017201	-0.730402927408924	0.465143929505763	0.886068181959144	ENSG00000164347	protein_coding	chr5	74721204	74767371	chr5:74721204	GFM2	protein_coding	chr5	74721206	74767147	chr5:74721206	ENSG00000164347
GFOD2	GFOD2	1052.59660477542	0.0524585704051467	0.0412009629103805	1.27323651438083	0.202934127005923	0.750668474469601	ENSG00000141098	protein_coding	chr16	67674531	67719421	chr16:67674531	GFOD2	protein_coding	chr16	67674531	67719339	chr16:67674531	ENSG00000141098
GFPT1	GFPT1	11575.8647781547	-0.0292441399054158	0.0553839095975714	-0.528025921570156	0.59748134470023	0.926957470164721	ENSG00000198380	protein_coding	chr2	69319769	69387254	chr2:69319769	GFPT1	protein_coding	chr2	69319780	69387250	chr2:69319780	ENSG00000198380
GFPT2	GFPT2	3424.16059539894	0.0500016655744953	0.129555434618678	0.3859480362338	0.699535153758638	0.956054486653282	ENSG00000131459	protein_coding	chr5	180300690	180353387	chr5:180300690	GFPT2	protein_coding	chr5	180300698	180353336	chr5:180300698	ENSG00000131459
GFRA1	GFRA1	1932.7938127602	0.537046655732586	0.226812520888525	2.36779986232126	0.0178942127768817	0.373314968522237	ENSG00000151892	protein_coding	chr10	116056925	116273467	chr10:116056925	GFRA1	protein_coding	chr10	116056925	116276803	chr10:116056925	ENSG00000151892
GGA1	GGA1	1562.34659748292	-0.0159572603747797	0.0507631946159687	-0.314347048003948	0.753257468695705	0.965588452475879	ENSG00000100083	protein_coding	chr22	37608475	37633564	chr22:37608475	GGA1	protein_coding	chr22	37608725	37633564	chr22:37608725	ENSG00000100083
GGA2	GGA2	2296.10868800069	-0.0484525115845868	0.0507489156979604	-0.954749691066485	0.339704294307267	0.840455892947666	ENSG00000103365	protein_coding	chr16	23463542	23521995	chr16:23463542	GGA2	protein_coding	chr16	23463542	23521995	chr16:23463542	ENSG00000103365
GGA3	GGA3	1571.71839249775	0.0403477294343719	0.0327264826617858	1.2328770510216	0.217621638671662	0.761868756274418	ENSG00000125447	protein_coding	chr17	75236599	75262363	chr17:75236599	GGA3	protein_coding	chr17	75236599	75262363	chr17:75236599	ENSG00000125447
GGACT	GGACT	370.681185876963	0.0473680550442024	0.0854631317061391	0.554251337372882	0.579406848711545	0.921146483338334	ENSG00000134864	protein_coding	chr13	100530164	100589528	chr13:100530164	GGACT	protein_coding	chr13	100530164	100589528	chr13:100530164	ENSG00000134864
GGCT	GGCT	1418.02410270693	0.0237987451051074	0.0963769752268012	0.246933928452335	0.804959358118748	0.972099064669517	ENSG00000006625	protein_coding	chr7	30496621	30504844	chr7:30496621	GGCT	protein_coding	chr7	30496621	30504841	chr7:30496621	ENSG00000006625
GGCX	GGCX	3598.97383964263	-0.0288207349139266	0.0525274162679888	-0.548679850668582	0.58322517631927	0.923013161352239	ENSG00000115486	protein_coding	chr2	85544723	85561547	chr2:85544723	GGCX	protein_coding	chr2	85544720	85561532	chr2:85544720	ENSG00000115486
GGH	GGH	3565.90448870304	-0.0693178402125023	0.127382481243236	-0.544170905888859	0.586323870711094	0.923911014073002	ENSG00000137563	protein_coding	chr8	63015079	63039171	chr8:63015079	GGH	protein_coding	chr8	63014881	63039407	chr8:63014881	ENSG00000137563
GGNBP2	GGNBP2	4753.12025244909	-0.015484671010463	0.0264514363381538	-0.585400006733386	0.558278784241729	0.915951797949776	ENSG00000278311	protein_coding	chr17	36544888	36589848	chr17:36544888	GGNBP2	protein_coding	chr17	36544912	36589848	chr17:36544912	ENSG00000278311
GGPS1	GGPS1	2093.21852311467	-0.060207197603727	0.0484204617166867	-1.24342469008259	0.213711376676407	0.758481504148155	ENSG00000152904	protein_coding	chr1	235327350	235344532	chr1:235327350	GGPS1	protein_coding	chr1	235327350	235344532	chr1:235327350	ENSG00000152904
GGT7	GGT7	1089.40128468477	-0.0861674665390684	0.114552168352401	-0.752211571185529	0.451923836150022	0.882220676286791	ENSG00000131067	protein_coding	chr20	34844720	34872860	chr20:34844720	GGT7	protein_coding	chr20	34844720	34872856	chr20:34844720	ENSG00000131067
GHDC	GHDC	674.771445270141	-0.106258067641124	0.0983240705697105	-1.08069231700276	0.279834001823539	0.803398167238198	ENSG00000167925	protein_coding	chr17	42188799	42194532	chr17:42188799	GHDC	protein_coding	chr17	42188799	42194532	chr17:42188799	ENSG00000167925
GHET1	GHET1	78.7422348741786	-0.111665049683587	0.0692186673660363	-1.61322160528011	0.106696371169655	0.646344812209746	ENSG00000281189	lincRNA	chr7	148987527	148989432	chr7:148987527	GHET1	lncRNA	chr7	148987527	148989432	chr7:148987527	ENSG00000281189
GHITM	GHITM	11112.2047023971	-0.0839411515826006	0.0457017209979234	-1.83671751850252	0.0662516077124174	0.574766885799509	ENSG00000165678	protein_coding	chr10	84139440	84153555	chr10:84139440	GHITM	protein_coding	chr10	84139482	84154841	chr10:84139482	ENSG00000165678
GHR	GHR	366.650924688092	-0.0535065251339073	0.127138738245594	-0.42085147196088	0.673863543133369	0.948173895189956	ENSG00000112964	protein_coding	chr5	42423777	42721878	chr5:42423777	GHR	protein_coding	chr5	42423439	42721878	chr5:42423439	ENSG00000112964
GID4	GID4	1205.72505323119	0.195229032460004	0.0787928834209504	2.4777495629522	0.0132213910280652	0.332259759522469	ENSG00000141034	protein_coding	chr17	18039292	18068404	chr17:18039292	GID4	protein_coding	chr17	18039408	18068405	chr17:18039408	ENSG00000141034
GID8	GID8	3180.21971449022	-0.00414294288070162	0.0293782651714128	-0.141020678264318	0.887853606693357	0.983433419150011	ENSG00000101193	protein_coding	chr20	62938119	62948475	chr20:62938119	GID8	protein_coding	chr20	62938147	62948475	chr20:62938147	ENSG00000101193
GIGYF1	GIGYF1	1865.53717288745	0.0337731216428102	0.0898923461913991	0.375706309532742	0.707135246662577	0.957039513979895	ENSG00000146830	protein_coding	chr7	100679507	100689448	chr7:100679507	GIGYF1	protein_coding	chr7	100679507	100694250	chr7:100679507	ENSG00000146830
GIGYF2	GIGYF2	3856.65722667439	0.0763925308473101	0.0456589956906796	1.67311018763613	0.0943056063562119	0.625695231171483	ENSG00000204120	protein_coding	chr2	232697299	232860575	chr2:232697299	GIGYF2	protein_coding	chr2	232697299	232860605	chr2:232697299	ENSG00000204120
GIMAP2	GIMAP2	65.7405517462442	0.533655755466507	0.316795180262846	1.68454505849404	0.0920763791203633	0.623789934641666	ENSG00000106560	protein_coding	chr7	150685697	150693641	chr7:150685697	GIMAP2	protein_coding	chr7	150685697	150693641	chr7:150685697	ENSG00000106560
GIN1	GIN1	446.498044241576	-0.0365005228465474	0.0667095102043694	-0.547156211081829	0.584271416997464	0.923550536734379	ENSG00000145723	protein_coding	chr5	103086000	103120151	chr5:103086000	GIN1	protein_coding	chr5	103086000	103120138	chr5:103086000	ENSG00000145723
GINM1	GINM1	5164.55957250065	0.0849242011122466	0.0705410581242894	1.20389746582217	0.228629211404704	0.770600007815558	ENSG00000055211	protein_coding	chr6	149566294	149591748	chr6:149566294	GINM1	protein_coding	chr6	149566294	149591748	chr6:149566294	ENSG00000055211
GINS1	GINS1	826.98851113828	0.127124853113758	0.24675687722738	0.515182614329388	0.606425416790334	0.928498719574014	ENSG00000101003	protein_coding	chr20	25407727	25452628	chr20:25407727	GINS1	protein_coding	chr20	25391008	25452700	chr20:25391008	ENSG00000101003
GINS2	GINS2	982.791649645385	0.00264038113681236	0.263319951186268	0.010027273379466	0.991999527453333	0.998911306306975	ENSG00000131153	protein_coding	chr16	85676198	85690073	chr16:85676198	GINS2	protein_coding	chr16	85676198	85690073	chr16:85676198	ENSG00000131153
GINS3	GINS3	568.440820183383	-0.0390796269106902	0.207378028493769	-0.188446322855578	0.850526789722342	0.978888248525232	ENSG00000181938	protein_coding	chr16	58295080	58406144	chr16:58295080	GINS3	protein_coding	chr16	58295080	58406147	chr16:58295080	ENSG00000181938
GINS4	GINS4	1249.0502498672	-0.0657242637909688	0.213434947104196	-0.307935812212061	0.758131174773718	0.966410510272654	ENSG00000147536	protein_coding	chr8	41529206	41545046	chr8:41529206	GINS4	protein_coding	chr8	41529218	41545030	chr8:41529218	ENSG00000147536
GIPC1	GIPC1	5944.79258539226	-0.152253332806088	0.122154924054076	-1.24639537853331	0.212619277078211	0.757303355376991	ENSG00000123159	protein_coding	chr19	14477760	14496149	chr19:14477760	GIPC1	protein_coding	chr19	14477760	14496149	chr19:14477760	ENSG00000123159
GIT1	GIT1	2178.88692283974	0.162069400379695	0.0589815188012391	2.74779971207337	0.00599966466079174	0.249202938772042	ENSG00000108262	protein_coding	chr17	29573469	29594054	chr17:29573469	GIT1	protein_coding	chr17	29573475	29594054	chr17:29573475	ENSG00000108262
GIT2	GIT2	5174.34105197364	0.10298850909932	0.0455586433580047	2.26057014670137	0.0237858881193131	0.410200896369202	ENSG00000139436	protein_coding	chr12	109929792	109996389	chr12:109929792	GIT2	protein_coding	chr12	109929804	109996389	chr12:109929804	ENSG00000139436
GJA1	GJA1	14238.5237362728	0.171956782760451	0.194659774080562	0.883370915088422	0.37703589993341	0.857052949033051	ENSG00000152661	protein_coding	chr6	121435692	121449727	chr6:121435692	GJA1	protein_coding	chr6	121435595	121449727	chr6:121435595	ENSG00000152661
GJC1	GJC1	2992.30693223798	0.178601957353251	0.112583086020172	1.58640132960336	0.112648299009536	0.653203160338058	ENSG00000182963	protein_coding	chr17	44798448	44830816	chr17:44798448	GJC1	protein_coding	chr17	44798448	44830816	chr17:44798448	ENSG00000182963
GK	GK	678.87414429726	0.0588141423665652	0.152257372014763	0.386281081751908	0.699288509860421	0.955999445694364	ENSG00000198814	protein_coding	chrX	30653359	30731456	chrX:30653359	GK	protein_coding	chrX	30653359	30731462	chrX:30653359	ENSG00000198814
GK5	GK5	1230.26957700061	-0.0289209425879914	0.0810710756564499	-0.356735646515263	0.721289716943419	0.959250398531956	ENSG00000175066	protein_coding	chr3	142157527	142225607	chr3:142157527	GK5	protein_coding	chr3	142157527	142225592	chr3:142157527	ENSG00000175066
GLA	GLA	1037.07614562377	0.0517199179997499	0.122330733503488	0.422787606339948	0.672450230895722	0.947768790899398	ENSG00000102393	protein_coding	chrX	101397803	101407925	chrX:101397803	GLA	protein_coding	chrX	101393273	101408012	chrX:101393273	ENSG00000102393
GLB1	GLB1	5675.15751430576	-0.041580112915604	0.0653057978507603	-0.636698643673639	0.524321157219234	0.906449823824607	ENSG00000170266	protein_coding	chr3	32996608	33097230	chr3:32996608	GLB1	protein_coding	chr3	32996609	33097202	chr3:32996609	ENSG00000170266
GLB1L	GLB1L	597.949337349107	-0.347655349993686	0.135639116891456	-2.56309063315336	0.0103744962612551	0.305041158726455	ENSG00000163521	protein_coding	chr2	219236606	219245478	chr2:219236606	GLB1L	protein_coding	chr2	219236598	219245478	chr2:219236598	ENSG00000163521
GLCCI1	GLCCI1	246.960567334027	0.0343823493231703	0.120081232184965	0.286325753804808	0.774628634770375	0.969012984580842	ENSG00000106415	protein_coding	chr7	7968794	8094272	chr7:7968794	GLCCI1	protein_coding	chr7	7968796	8094272	chr7:7968796	ENSG00000106415
GLCE	GLCE	2330.75801447985	-0.146235144751872	0.0822705874847447	-1.77748997816489	0.0754876582885432	0.593994184193444	ENSG00000138604	protein_coding	chr15	69160584	69272217	chr15:69160584	GLCE	protein_coding	chr15	69160584	69272217	chr15:69160584	ENSG00000138604
GLE1	GLE1	2527.30488395218	0.00373762291718675	0.0518325434784388	0.0721095795490244	0.942514702696432	0.992272225841417	ENSG00000119392	protein_coding	chr9	128504700	128542288	chr9:128504700	GLE1	protein_coding	chr9	128504655	128543874	chr9:128504655	ENSG00000119392
GLG1	GLG1	21101.3280855725	0.0868466757768002	0.0740469279392127	1.17285994427878	0.240851974785525	0.778106766379849	ENSG00000090863	protein_coding	chr16	74447427	74607144	chr16:74447427	GLG1	protein_coding	chr16	74447427	74607144	chr16:74447427	ENSG00000090863
GLI1	GLI1	302.506483473636	-0.682464335024671	0.212145506057139	-3.2169634309428	0.00129555110881666	0.12278797106929	ENSG00000111087	protein_coding	chr12	57460135	57472262	chr12:57460135	GLI1	protein_coding	chr12	57459785	57472268	chr12:57459785	ENSG00000111087
GLI2	GLI2	1995.08557527874	-0.173305727053143	0.0893138348926791	-1.94041300836975	0.0523295169384708	0.532345251591397	ENSG00000074047	protein_coding	chr2	120735623	120992653	chr2:120735623	GLI2	protein_coding	chr2	120735623	120992653	chr2:120735623	ENSG00000074047
GLI3	GLI3	3099.83720887038	0.0272999229722952	0.144349266488779	0.18912408518832	0.84999556486749	0.978888248525232	ENSG00000106571	protein_coding	chr7	41960950	42237870	chr7:41960950	GLI3	protein_coding	chr7	41960949	42264100	chr7:41960949	ENSG00000106571
GLI4	GLI4	201.962544139652	-0.182839232815765	0.082557217905375	-2.21469712103587	0.0267808606090578	0.431182799531708	ENSG00000250571	protein_coding	chr8	143267433	143276931	chr8:143267433	GLI4	protein_coding	chr8	143267433	143276931	chr8:143267433	ENSG00000250571
GLIDR	GLIDR	92.7306932189583	-0.0861065028747041	0.155268766286831	-0.554564223918916	0.579192765387699	0.921086969499813	ENSG00000278175	lincRNA	chr9	39807361	39810063	chr9:39807361	GLIDR	lncRNA	chr9	39709535	39810128	chr9:39709535	ENSG00000278175
GLIPR1	GLIPR1	21799.2529310404	0.109945366941139	0.174610100007031	0.62966212685699	0.528915666650378	0.907370804966612	ENSG00000139278	protein_coding	chr12	75480680	75503853	chr12:75480680	GLIPR1	protein_coding	chr12	75480753	75503863	chr12:75480753	ENSG00000139278
GLIPR2	GLIPR2	4133.98336204267	-0.105959044706933	0.103444185416625	-1.02431126776415	0.305688277524976	0.822775007891462	ENSG00000122694	protein_coding	chr9	36136536	36163913	chr9:36136536	GLIPR2	protein_coding	chr9	36136536	36163913	chr9:36136536	ENSG00000122694
GLIS1	GLIS1	194.344357045909	0.311207809421653	0.267938111864458	1.16149138790335	0.245442123450584	0.783068955052194	ENSG00000174332	protein_coding	chr1	53506237	53738106	chr1:53506237	GLIS1	protein_coding	chr1	53506237	53739164	chr1:53506237	ENSG00000174332
GLIS2	GLIS2	1372.96090998233	0.0775115994446624	0.140539116451911	0.551530430826244	0.581270111954687	0.922088444018766	ENSG00000126603	protein_coding	chr16	4314761	4339597	chr16:4314761	GLIS2	protein_coding	chr16	4314761	4339597	chr16:4314761	ENSG00000126603
GLIS2-AS1	GLIS2-AS1	2.30966940016208	0.147810662618392	0.325069303982249	0.454705076141127	0.64932142848505	0.941682929234579	ENSG00000262686	lincRNA	chr16	4324667	4328340	chr16:4324667	GLIS2-AS1	lncRNA	chr16	4324667	4328340	chr16:4324667	ENSG00000262686
GLIS3	GLIS3	1703.73297244214	0.221806084257087	0.143740132506799	1.54310477101165	0.12280535733777	0.668683346522414	ENSG00000107249	protein_coding	chr9	3824127	4348392	chr9:3824127	GLIS3	protein_coding	chr9	3824127	4348392	chr9:3824127	ENSG00000107249
GLMN	GLMN	670.672302037209	-0.0578672994653768	0.0640272716875095	-0.903791430436128	0.366106006637505	0.854730020166497	ENSG00000174842	protein_coding	chr1	92246402	92298987	chr1:92246402	GLMN	protein_coding	chr1	92246402	92298987	chr1:92246402	ENSG00000174842
GLMP	GLMP	2840.91605719158	-0.0566844509457603	0.0879198119742762	-0.64472898284115	0.519102830843485	0.903499689174764	ENSG00000198715	protein_coding	chr1	156290089	156295689	chr1:156290089	GLMP	protein_coding	chr1	156290089	156295689	chr1:156290089	ENSG00000198715
GLO1	GLO1	10584.05632889	0.0129650628782736	0.0712006901479055	0.182091814718948	0.855510672255819	0.979726066179946	ENSG00000124767	protein_coding	chr6	38675925	38703141	chr6:38675925	GLO1	protein_coding	chr6	38675925	38703145	chr6:38675925	ENSG00000124767
GLOD4	GLOD4	2605.381846891	-0.0481283998518537	0.0694350879178871	-0.693142347695586	0.488220224179671	0.892675145412712	ENSG00000167699	protein_coding	chr17	757097	783390	chr17:757097	GLOD4	protein_coding	chr17	757097	782294	chr17:757097	ENSG00000167699
GLRB	GLRB	346.793151431723	0.138625842013907	0.116062054101763	1.19441141281508	0.232317074635793	0.773554365804434	ENSG00000109738	protein_coding	chr4	157076057	157172090	chr4:157076057	GLRB	protein_coding	chr4	157076125	157172090	chr4:157076125	ENSG00000109738
GLRX	GLRX	2042.20339380948	-0.171788990899868	0.112542313452942	-1.52643912879665	0.126900539140906	0.674060419458551	ENSG00000173221	protein_coding	chr5	95751319	95823005	chr5:95751319	GLRX	protein_coding	chr5	95751319	95822726	chr5:95751319	ENSG00000173221
GLRX2	GLRX2	642.903079959268	-0.135247877882467	0.101571002861044	-1.33155993416246	0.183004838086359	0.737159712666073	ENSG00000023572	protein_coding	chr1	193096468	193106114	chr1:193096468	GLRX2	protein_coding	chr1	193090866	193106114	chr1:193090866	ENSG00000023572
GLRX3	GLRX3	5038.9722725024	-0.0174770933685907	0.100277317619492	-0.174287603452941	0.861639441156291	0.980542779134001	ENSG00000108010	protein_coding	chr10	130136399	130184521	chr10:130136399	GLRX3	protein_coding	chr10	130136391	130184521	chr10:130136391	ENSG00000108010
GLRX5	GLRX5	1374.48368156726	-0.0558777660027713	0.0698207289776376	-0.80030338870664	0.423535040208389	0.876033347821672	ENSG00000182512	protein_coding	chr14	95533503	95544724	chr14:95533503	GLRX5	protein_coding	chr14	95533503	95544724	chr14:95533503	ENSG00000182512
GLS	GLS	24558.8280274085	-0.174483772584758	0.124674315863906	-1.39951658347357	0.161658128921709	0.714569186880184	ENSG00000115419	protein_coding	chr2	190880827	190965552	chr2:190880827	GLS	protein_coding	chr2	190880821	190965552	chr2:190880821	ENSG00000115419
GLT8D1	GLT8D1	5106.80794685201	0.00105780936104603	0.069453916759651	0.0152303773551985	0.987848386845166	0.998347414588812	ENSG00000016864	protein_coding	chr3	52694485	52706083	chr3:52694485	GLT8D1	protein_coding	chr3	52694486	52706032	chr3:52694486	ENSG00000016864
GLT8D2	GLT8D2	4819.15949389544	-0.0125538119166124	0.133304163918714	-0.094174191919972	0.924970785508894	0.989926466933951	ENSG00000120820	protein_coding	chr12	103988984	104064183	chr12:103988984	GLT8D2	protein_coding	chr12	103988987	104064183	chr12:103988987	ENSG00000120820
GLTP	GLTP	4182.34694349841	0.105510607326775	0.0854132433188622	1.23529564300568	0.216720494692671	0.7609358680616	ENSG00000139433	protein_coding	chr12	109850943	109880488	chr12:109850943	GLTP	protein_coding	chr12	109850945	109880541	chr12:109850945	ENSG00000139433
GLTSCR1	GLTSCR1	830.974708277267	-0.067182813719751	0.0842541188100069	-0.797383138873582	0.425228548705276	0.876893373941472	ENSG00000063169	protein_coding	chr19	47608196	47703277	chr19:47608196	BICRA	protein_coding	chr19	47608196	47703277	chr19:47608196	ENSG00000063169
GLTSCR1L	GLTSCR1L	1668.8875191934	0.0565600358060381	0.0714096115442234	0.792050741951046	0.428331089988043	0.877279428296818	ENSG00000112624	protein_coding	chr6	42746958	42868560	chr6:42746958	BICRAL	protein_coding	chr6	42746958	42868558	chr6:42746958	ENSG00000112624
GLTSCR2	GLTSCR2	5725.6557418353	-0.0679763494637488	0.119657588081761	-0.568090587095081	0.569973458988238	0.919094994949518	ENSG00000105373	protein_coding	chr19	47745522	47757058	chr19:47745522	NOP53	protein_coding	chr19	47745546	47757058	chr19:47745546	ENSG00000105373
