Row.names	SRR5931679	SRR5931680	SRR5931681	median_TPM	gene_id.84	gene_type.84	chr	start	stop	loc.84	gene_name.107	gene_type.107	chr.107	start.107	stop.107	loc.107	gene_id.107
CNTN3	4.99257	6.25923	5.94672	5.94672	ENSG00000113805	protein_coding	chr3	74262568	74521140	chr3:74262568	CNTN3	protein_coding	chr3	74262568	74614659	chr3:74262568	ENSG00000113805
CNTNAP2	0.969503	1.08884	1.17853	1.08884	ENSG00000174469	protein_coding	chr7	146116002	148420998	chr7:146116002	CNTNAP2	protein_coding	chr7	146116002	148420998	chr7:146116002	ENSG00000174469
CNTNAP3	1.606627	1.630999	1.793224	1.630999	ENSG00000106714	protein_coding	chr9	39072767	39288315	chr9:39072767	CNTNAP3	protein_coding	chr9	39064710	39288315	chr9:39064710	ENSG00000106714
CNTNAP4	2.10823	2.61945500093962	2.423953	2.423953	ENSG00000152910	protein_coding	chr16	76277278	76559238	chr16:76277278	CNTNAP4	protein_coding	chr16	76277278	76560757	chr16:76277278	ENSG00000152910
CNTRL	7.032189	7.2468882	9.040208	7.2468882	ENSG00000119397	protein_coding	chr9	121074863	121177610	chr9:121074863	CNTRL	protein_coding	chr9	121074660	121177729	chr9:121074660	ENSG00000119397
CNTROB	18.26666	19.08938	20.231447	19.08938	ENSG00000170037	protein_coding	chr17	7932101	7949918	chr17:7932101	CNTROB	protein_coding	chr17	7932101	7949920	chr17:7932101	ENSG00000170037
COA1	39.629647	43.379958	43.333749	43.333749	ENSG00000106603	protein_coding	chr7	43608456	43729717	chr7:43608456	COA1	protein_coding	chr7	43608456	43729717	chr7:43608456	ENSG00000106603
COA3	61.0144	60.6178	65.3697	61.0144	ENSG00000183978	protein_coding	chr17	42795147	42798704	chr17:42795147	COA3	protein_coding	chr17	42795147	42798704	chr17:42795147	ENSG00000183978
COA4	130.80514	135.51283	139.91068	135.51283	ENSG00000181924	protein_coding	chr11	73872667	73876988	chr11:73872667	COA4	protein_coding	chr11	73872667	73876901	chr11:73872667	ENSG00000181924
COA5	21.48741	24.84605	27.974	24.84605	ENSG00000183513	protein_coding	chr2	98599310	98608515	chr2:98599310	COA5	protein_coding	chr2	98599314	98608515	chr2:98599314	ENSG00000183513
COA6	105.71872	116.57802	115.33058	115.33058	ENSG00000168275	protein_coding	chr1	234373456	234384049	chr1:234373456	COA6	protein_coding	chr1	234373456	234385080	chr1:234373456	ENSG00000168275
COA7	27.1198	29.2022	29.5254	29.2022	ENSG00000162377	protein_coding	chr1	52684451	52698366	chr1:52684451	COA7	protein_coding	chr1	52684449	52698347	chr1:52684449	ENSG00000162377
COASY	52.28363	51.49963	55.78871	52.28363	ENSG00000068120	protein_coding	chr17	42561467	42566277	chr17:42561467	COASY	protein_coding	chr17	42561467	42566277	chr17:42561467	ENSG00000068120
COBL	6.1040464	6.668084	6.2100644	6.2100644	ENSG00000106078	protein_coding	chr7	51016212	51316818	chr7:51016212	COBL	protein_coding	chr7	51016212	51316818	chr7:51016212	ENSG00000106078
COBLL1	27.82236	32.1673448	32.799076	32.1673448	ENSG00000082438	protein_coding	chr2	164653624	164843679	chr2:164653624	COBLL1	protein_coding	chr2	164653624	164843679	chr2:164653624	ENSG00000082438
COCH	3.91986	4.007547	3.830451	3.91986	ENSG00000100473	protein_coding	chr14	30874514	30895065	chr14:30874514	COCH	protein_coding	chr14	30874514	30895065	chr14:30874514	ENSG00000100473
COG1	15.426489	16.850547	16.780928	16.780928	ENSG00000166685	protein_coding	chr17	73192632	73208507	chr17:73192632	COG1	protein_coding	chr17	73193055	73208507	chr17:73193055	ENSG00000166685
COG2	16.213381	17.378062	17.12918	17.12918	ENSG00000135775	protein_coding	chr1	230642489	230693982	chr1:230642489	COG2	protein_coding	chr1	230642481	230693982	chr1:230642481	ENSG00000135775
COG3	13.283561	14.0583	14.421577	14.0583	ENSG00000136152	protein_coding	chr13	45464898	45536630	chr13:45464898	COG3	protein_coding	chr13	45464898	45536701	chr13:45464898	ENSG00000136152
COG4	32.05162	31.35166	31.87305	31.87305	ENSG00000103051	protein_coding	chr16	70480568	70523565	chr16:70480568	COG4	protein_coding	chr16	70480568	70523560	chr16:70480568	ENSG00000103051
COG5	13.86878	14.94954	16.10797	14.94954	ENSG00000164597	protein_coding	chr7	107201555	107564514	chr7:107201555	COG5	protein_coding	chr7	107201372	107564261	chr7:107201372	ENSG00000164597
COG6	13.430869	15.185486	15.222839	15.185486	ENSG00000133103	protein_coding	chr13	39655627	39791665	chr13:39655627	COG6	protein_coding	chr13	39655627	39791665	chr13:39655627	ENSG00000133103
COG7	7.32333	7.37386	7.44495	7.37386	ENSG00000168434	protein_coding	chr16	23388493	23453180	chr16:23388493	COG7	protein_coding	chr16	23388493	23453189	chr16:23388493	ENSG00000168434
COG8	14.16827	13.62668	15.18073	14.16827	ENSG00000213380	protein_coding	chr16	69320140	69339667	chr16:69320140	COG8	protein_coding	chr16	69320140	69339583	chr16:69320140	ENSG00000213380
COIL	22.4373	25.6589	25.9188	25.6589	ENSG00000121058	protein_coding	chr17	56938187	56961054	chr17:56938187	COIL	protein_coding	chr17	56938199	56961050	chr17:56938199	ENSG00000121058
COL18A1	2.5447623	2.5128584	2.461997	2.5128584	ENSG00000182871	protein_coding	chr21	45405137	45513720	chr21:45405137	COL18A1	protein_coding	chr21	45405165	45513720	chr21:45405165	ENSG00000182871
COL1A1	2.91791	2.97213	3.13821	2.97213	ENSG00000108821	protein_coding	chr17	50183289	50201632	chr17:50183289	COL1A1	protein_coding	chr17	50184101	50201632	chr17:50184101	ENSG00000108821
COL26A1	6.49687	6.37885	6.83965	6.49687	ENSG00000160963	protein_coding	chr7	101362820	101559024	chr7:101362820	COL26A1	protein_coding	chr7	101362875	101559024	chr7:101362875	ENSG00000160963
COL4A2	1.07839	1.11323	1.11827	1.11323	ENSG00000134871	protein_coding	chr13	110305812	110513027	chr13:110305812	COL4A2	protein_coding	chr13	110305812	110513209	chr13:110305812	ENSG00000134871
COL4A3BP	32.1748	35.9005	36.2691	35.9005	ENSG00000113163	protein_coding	chr5	75368486	75512138	chr5:75368486	CERT1	protein_coding	chr5	75356345	75512138	chr5:75356345	ENSG00000113163
COL4A5	14.88443	15.77569	16.65597	15.77569	ENSG00000188153	protein_coding	chrX	108439844	108697545	chrX:108439844	COL4A5	protein_coding	chrX	108439838	108697545	chrX:108439838	ENSG00000188153
COL6A1	30.304039	32.92264	33.15853	32.92264	ENSG00000142156	protein_coding	chr21	45981737	46005050	chr21:45981737	COL6A1	protein_coding	chr21	45981770	46005050	chr21:45981770	ENSG00000142156
COL6A2	7.947272	8.11408	8.72088106	8.11408	ENSG00000142173	protein_coding	chr21	46098097	46132849	chr21:46098097	COL6A2	protein_coding	chr21	46098112	46132848	chr21:46098112	ENSG00000142173
COL7A1	1.68299	1.61616	1.60436	1.61616	ENSG00000114270	protein_coding	chr3	48564073	48595267	chr3:48564073	COL7A1	protein_coding	chr3	48564073	48595329	chr3:48564073	ENSG00000114270
COL9A3	8.09321	8.267	8.32008	8.267	ENSG00000092758	protein_coding	chr20	62816244	62841159	chr20:62816244	COL9A3	protein_coding	chr20	62816244	62841159	chr20:62816244	ENSG00000092758
COLCA1	2.31847	2.80819	2.50931	2.50931	ENSG00000196167	antisense	chr11	111290787	111305045	chr11:111290787	COLCA1	lncRNA	chr11	111290787	111305498	chr11:111290787	ENSG00000196167
COLEC12	1.19937	1.38182	1.35844	1.35844	ENSG00000158270	protein_coding	chr18	316740	500722	chr18:316740	COLEC12	protein_coding	chr18	316737	500722	chr18:316737	ENSG00000158270
COLGALT1	49.9107	51.4443	53.6356	51.4443	ENSG00000130309	protein_coding	chr19	17555594	17583162	chr19:17555594	COLGALT1	protein_coding	chr19	17555649	17583162	chr19:17555649	ENSG00000130309
COMMD1	13.6418	14.0603	12.9916	13.6418	ENSG00000173163	protein_coding	chr2	61888724	62147247	chr2:61888724	COMMD1	protein_coding	chr2	61888724	62147247	chr2:61888724	ENSG00000173163
COMMD10	43.094	46.728233	43.6907	43.6907	ENSG00000145781	protein_coding	chr5	116084991	116412762	chr5:116084991	COMMD10	protein_coding	chr5	116085016	116412762	chr5:116085016	ENSG00000145781
COMMD2	19.7383	21.6668	21.4685	21.4685	ENSG00000114744	protein_coding	chr3	149738470	149752499	chr3:149738470	COMMD2	protein_coding	chr3	149738472	149752495	chr3:149738472	ENSG00000114744
COMMD3	25.8633	25.5348	26.0368	25.8633	ENSG00000148444	protein_coding	chr10	22315974	22320308	chr10:22315974	COMMD3	protein_coding	chr10	22316386	22320306	chr10:22316386	ENSG00000148444
COMMD3-BMI1	9.76345	10.8792	9.14297	9.76345	ENSG00000269897	protein_coding	chr10	22316388	22329542	chr10:22316388	COMMD3-BMI1	protein_coding	chr10	22316388	22329542	chr10:22316388	ENSG00000269897
COMMD4	49.970198	50.106072	55.448277	50.106072	ENSG00000140365	protein_coding	chr15	75335891	75343224	chr15:75335891	COMMD4	protein_coding	chr15	75336020	75343224	chr15:75336020	ENSG00000140365
COMMD5	16.220501	17.052456	17.370171	17.052456	ENSG00000170619	protein_coding	chr8	144841042	144853736	chr8:144841042	COMMD5	protein_coding	chr8	144841042	144853736	chr8:144841042	ENSG00000170619
COMMD6	83.6911	85.0255	90.08117	85.0255	ENSG00000188243	protein_coding	chr13	75525219	75549439	chr13:75525219	COMMD6	protein_coding	chr13	75525214	75549439	chr13:75525214	ENSG00000188243
COMMD7	30.66337	30.38342	29.65596	30.38342	ENSG00000149600	protein_coding	chr20	32702691	32743997	chr20:32702691	COMMD7	protein_coding	chr20	32702699	32743467	chr20:32702699	ENSG00000149600
COMMD8	32.1569	37.272	35.6857	35.6857	ENSG00000169019	protein_coding	chr4	47450796	47463719	chr4:47450796	COMMD8	protein_coding	chr4	47450787	47463702	chr4:47450787	ENSG00000169019
COMMD9	24.64424	28.91661	29.49332	28.91661	ENSG00000110442	protein_coding	chr11	36269284	36289449	chr11:36269284	COMMD9	protein_coding	chr11	36269284	36289449	chr11:36269284	ENSG00000110442
COMT	146.958411	153.323332	156.13866	153.323332	ENSG00000093010	protein_coding	chr22	19941607	19969975	chr22:19941607	COMT	protein_coding	chr22	19941371	19969975	chr22:19941371	ENSG00000093010
COMTD1	35.7651	35.2893	38.4473	35.7651	ENSG00000165644	protein_coding	chr10	75233969	75236030	chr10:75233969	COMTD1	protein_coding	chr10	75233641	75236030	chr10:75233641	ENSG00000165644
COPA	54.82731	59.38584	60.76408	59.38584	ENSG00000122218	protein_coding	chr1	160289273	160343400	chr1:160289273	COPA	protein_coding	chr1	160288594	160343566	chr1:160288594	ENSG00000122218
COPB1	88.0304	96.522	98.1098	96.522	ENSG00000129083	protein_coding	chr11	14443440	14500027	chr11:14443440	COPB1	protein_coding	chr11	14443440	14500027	chr11:14443440	ENSG00000129083
COPB2	89.4626	96.3894	98.7816	96.3894	ENSG00000184432	protein_coding	chr3	139355600	139389732	chr3:139355600	COPB2	protein_coding	chr3	139353946	139389736	chr3:139353946	ENSG00000184432
COPE	106.65132	110.4742263	107.860415	107.860415	ENSG00000105669	protein_coding	chr19	18899514	18919397	chr19:18899514	COPE	protein_coding	chr19	18899514	18919387	chr19:18899514	ENSG00000105669
COPG1	105.606	114.58	119.007	114.58	ENSG00000181789	protein_coding	chr3	129249606	129277773	chr3:129249606	COPG1	protein_coding	chr3	129249606	129277773	chr3:129249606	ENSG00000181789
COPG2	15.196113	16.096993	17.427089	16.096993	ENSG00000158623	protein_coding	chr7	130506238	130668748	chr7:130506238	COPG2	protein_coding	chr7	130506238	130668748	chr7:130506238	ENSG00000158623
COPRS	81.542406	85.387672	83.355126	83.355126	ENSG00000172301	protein_coding	chr17	31851864	31859337	chr17:31851864	COPRS	protein_coding	chr17	31851871	31859291	chr17:31851871	ENSG00000172301
COPS2	97.3968	113.9416	112.7138	112.7138	ENSG00000166200	protein_coding	chr15	49106068	49155661	chr15:49106068	COPS2	protein_coding	chr15	49106068	49155661	chr15:49106068	ENSG00000166200
COPS3	120.28532	132.85085	134.78205	132.85085	ENSG00000141030	protein_coding	chr17	17246820	17281293	chr17:17246820	COPS3	protein_coding	chr17	17246616	17281273	chr17:17246616	ENSG00000141030
COPS4	38.347404	41.20498	44.612673	41.20498	ENSG00000138663	protein_coding	chr4	83034447	83075818	chr4:83034447	COPS4	protein_coding	chr4	83034447	83075818	chr4:83034447	ENSG00000138663
COPS5	69.12396	73.49679	77.80076	73.49679	ENSG00000121022	protein_coding	chr8	67043079	67083783	chr8:67043079	COPS5	protein_coding	chr8	67043079	67083783	chr8:67043079	ENSG00000121022
COPS6	138.297	138.7134	150.1806	138.7134	ENSG00000168090	protein_coding	chr7	100088954	100092200	chr7:100088954	COPS6	protein_coding	chr7	100088969	100092187	chr7:100088969	ENSG00000168090
COPS7A	33.39254	36.147595	36.91235	36.147595	ENSG00000111652	protein_coding	chr12	6723741	6731875	chr12:6723741	COPS7A	protein_coding	chr12	6724014	6731875	chr12:6724014	ENSG00000111652
COPS7B	22.93606	22.44572076	26.120456	22.93606	ENSG00000144524	protein_coding	chr2	231781671	231809254	chr2:231781671	COPS7B	protein_coding	chr2	231781671	231809254	chr2:231781671	ENSG00000144524
COPS8	66.52351	70.02927	69.08868	69.08868	ENSG00000198612	protein_coding	chr2	237085312	237100466	chr2:237085312	COPS8	protein_coding	chr2	237085882	237100474	chr2:237085882	ENSG00000198612
COPZ1	175.828606	187.030068	213.47403	187.030068	ENSG00000111481	protein_coding	chr12	54301202	54351849	chr12:54301202	COPZ1	protein_coding	chr12	54301202	54351846	chr12:54301202	ENSG00000111481
COQ10A	2.947149	2.525772	2.158664	2.525772	ENSG00000135469	protein_coding	chr12	56266858	56270966	chr12:56266858	COQ10A	protein_coding	chr12	56266890	56270966	chr12:56266890	ENSG00000135469
COQ10B	27.990771	32.09997	28.55624	28.55624	ENSG00000115520	protein_coding	chr2	197453423	197475308	chr2:197453423	COQ10B	protein_coding	chr2	197453493	197475310	chr2:197453493	ENSG00000115520
COQ2	18.387802	17.982117	18.382411	18.382411	ENSG00000173085	protein_coding	chr4	83261536	83284914	chr4:83261536	COQ2	protein_coding	chr4	83261536	83284914	chr4:83261536	ENSG00000173085
COQ3	22.2776	23.724772	25.03216	23.724772	ENSG00000132423	protein_coding	chr6	99369400	99394204	chr6:99369400	COQ3	protein_coding	chr6	99369401	99394195	chr6:99369401	ENSG00000132423
COQ4	38.4332	39.93465	41.23503	39.93465	ENSG00000167113	protein_coding	chr9	128322536	128334072	chr9:128322536	COQ4	protein_coding	chr9	128322544	128334072	chr9:128322544	ENSG00000167113
COQ5	33.550647	35.107825	36.63135	35.107825	ENSG00000110871	protein_coding	chr12	120503274	120534434	chr12:120503274	COQ5	protein_coding	chr12	120503279	120534434	chr12:120503279	ENSG00000110871
COQ6	23.76352	26.79276	27.68889	26.79276	ENSG00000119723	protein_coding	chr14	73949926	73963670	chr14:73949926	COQ6	protein_coding	chr14	73949926	73963670	chr14:73949926	ENSG00000119723
COQ7	24.63919	27.97608	26.82347	26.82347	ENSG00000167186	protein_coding	chr16	19067599	19080095	chr16:19067599	COQ7	protein_coding	chr16	19067614	19080095	chr16:19067614	ENSG00000167186
COQ9	53.64837	55.345919	58.01345	55.345919	ENSG00000088682	protein_coding	chr16	57447425	57461275	chr16:57447425	COQ9	protein_coding	chr16	57447425	57461270	chr16:57447425	ENSG00000088682
CORO1A	1.313471	1.20104	1.450166	1.313471	ENSG00000102879	protein_coding	chr16	30182827	30189076	chr16:30182827	CORO1A	protein_coding	chr16	30182827	30189076	chr16:30182827	ENSG00000102879
CORO1B	83.3724	87.1766	91.4377	87.1766	ENSG00000172725	protein_coding	chr11	67435510	67443821	chr11:67435510	CORO1B	protein_coding	chr11	67435510	67443821	chr11:67435510	ENSG00000172725
CORO1C	24.96145	25.98742	26.779366	25.98742	ENSG00000110880	protein_coding	chr12	108645109	108731596	chr12:108645109	CORO1C	protein_coding	chr12	108645109	108731526	chr12:108645109	ENSG00000110880
CORO2A	12.881968	13.732188	14.645792	13.732188	ENSG00000106789	protein_coding	chr9	98120975	98192640	chr9:98120975	CORO2A	protein_coding	chr9	98120975	98192637	chr9:98120975	ENSG00000106789
CORO7	2.26002	2.53035	1.974945	2.26002	ENSG00000262246	protein_coding	chr16	4354542	4425705	chr16:4354542	CORO7	protein_coding	chr16	4354542	4425705	chr16:4354542	ENSG00000262246
CORT	1.23525	1.38184	1.00285	1.23525	ENSG00000241563	protein_coding	chr1	10449719	10451902	chr1:10449719	CORT	protein_coding	chr1	10450031	10451998	chr1:10450031	ENSG00000241563
COTL1	22.8225	25.7276000042423	24.311	24.311	ENSG00000103187	protein_coding	chr16	84565594	84618077	chr16:84565594	COTL1	protein_coding	chr16	84565596	84618078	chr16:84565596	ENSG00000103187
COX10	23.81579	26.01666	27.0704	26.01666	ENSG00000006695	protein_coding	chr17	14069496	14208677	chr17:14069496	COX10	protein_coding	chr17	14069490	14231736	chr17:14069490	ENSG00000006695
COX10-AS1	7.97671	8.538358	9.846847	8.538358	ENSG00000236088	processed_transcript	chr17	13756478	14069495	chr17:13756478	COX10-DT	lncRNA	chr17	13755574	14069495	chr17:13755574	ENSG00000236088
COX11	46.74146	53.557081	51.34532	51.34532	ENSG00000166260	protein_coding	chr17	54951902	54968785	chr17:54951902	COX11	protein_coding	chr17	54951902	54968703	chr17:54951902	ENSG00000166260
COX14	43.305308	37.169336	41.262616	41.262616	ENSG00000178449	protein_coding	chr12	50111979	50120457	chr12:50111979	COX14	protein_coding	chr12	50112082	50120457	chr12:50112082	ENSG00000178449
COX15	17.69591	19.75569	19.75681	19.75569	ENSG00000014919	protein_coding	chr10	99711844	99732100	chr10:99711844	COX15	protein_coding	chr10	99710868	99732127	chr10:99710868	ENSG00000014919
COX16	31.9698	33.8635	30.8225	31.9698	ENSG00000133983	protein_coding	chr14	70325081	70359731	chr14:70325081	COX16	protein_coding	chr14	70325081	70416984	chr14:70325081	ENSG00000133983
COX17	200.34088	201.2309	196.98597	200.34088	ENSG00000138495	protein_coding	chr3	119654513	119677454	chr3:119654513	COX17	protein_coding	chr3	119654513	119677454	chr3:119654513	ENSG00000138495
COX18	12.71515	13.59703	14.75982	13.59703	ENSG00000163626	protein_coding	chr4	73052362	73069755	chr4:73052362	COX18	protein_coding	chr4	73052362	73069755	chr4:73052362	ENSG00000163626
COX19	4.62461	5.31574	5.34708	5.31574	ENSG00000240230	protein_coding	chr7	898778	975599	chr7:898778	COX19	protein_coding	chr7	898778	975549	chr7:898778	ENSG00000240230
COX20	80.5549	80.5813	92.1635	80.5813	ENSG00000203667	protein_coding	chr1	244835322	244845057	chr1:244835322	COX20	protein_coding	chr1	244835616	244845057	chr1:244835616	ENSG00000203667
COX4I1	528.39751	509.03847	544.01445	528.39751	ENSG00000131143	protein_coding	chr16	85798633	85807044	chr16:85798633	COX4I1	protein_coding	chr16	85798633	85807068	chr16:85798633	ENSG00000131143
COX5A	452.80995	466.62694	483.81968	466.62694	ENSG00000178741	protein_coding	chr15	74919791	74938168	chr15:74919791	COX5A	protein_coding	chr15	74919791	74938083	chr15:74919791	ENSG00000178741
COX5B	196.021	182.336	189.517	189.517	ENSG00000135940	protein_coding	chr2	97646040	97648383	chr2:97646040	COX5B	protein_coding	chr2	97646062	97648383	chr2:97646062	ENSG00000135940
COX6A1	423.505	422.79	443.024	423.505	ENSG00000111775	protein_coding	chr12	120438090	120440742	chr12:120438090	COX6A1	protein_coding	chr12	120438090	120440737	chr12:120438090	ENSG00000111775
COX6B1	342.103104	345.024909	366.998921	345.024909	ENSG00000126267	protein_coding	chr19	35648223	35658861	chr19:35648223	COX6B1	protein_coding	chr19	35648323	35658782	chr19:35648323	ENSG00000126267
COX6C	477.095284	513.42086	480.35797	480.35797	ENSG00000164919	protein_coding	chr8	99873200	99894062	chr8:99873200	COX6C	protein_coding	chr8	99873200	99893707	chr8:99873200	ENSG00000164919
COX7A2	289.92566	272.83266	270.461235	272.83266	ENSG00000112695	protein_coding	chr6	75237675	75250323	chr6:75237675	COX7A2	protein_coding	chr6	75237675	75250323	chr6:75237675	ENSG00000112695
COX7A2L	68.265388	74.079858	71.596615	71.596615	ENSG00000115944	protein_coding	chr2	42333546	42425088	chr2:42333546	COX7A2L	protein_coding	chr2	42333546	42425088	chr2:42333546	ENSG00000115944
COX7B	64.5679	70.7243	68.767	68.767	ENSG00000131174	protein_coding	chrX	77899438	77907373	chrX:77899438	COX7B	protein_coding	chrX	77899440	77907376	chrX:77899440	ENSG00000131174
COX7B2	4.836154	5.344595	3.881697	4.836154	ENSG00000170516	protein_coding	chr4	46734827	46909235	chr4:46734827	COX7B2	protein_coding	chr4	46734827	46909245	chr4:46734827	ENSG00000170516
COX7C	656.49757	633.26901	643.89586	643.89586	ENSG00000127184	protein_coding	chr5	86617904	86620962	chr5:86617904	COX7C	protein_coding	chr5	86617928	86620962	chr5:86617928	ENSG00000127184
COX8A	464.804	437.173	472.95	464.804	ENSG00000176340	protein_coding	chr11	63974607	63976543	chr11:63974607	COX8A	protein_coding	chr11	63974620	63976543	chr11:63974620	ENSG00000176340
CPD	28.97249	33.51812	33.36676	33.36676	ENSG00000108582	protein_coding	chr17	30378905	30469989	chr17:30378905	CPD	protein_coding	chr17	30378927	30469989	chr17:30378927	ENSG00000108582
CPE	16.0457	16.7369	16.635	16.635	ENSG00000109472	protein_coding	chr4	165361194	165498320	chr4:165361194	CPE	protein_coding	chr4	165361194	165498547	chr4:165361194	ENSG00000109472
CPEB2	2.415473	2.42341970181632	2.742871	2.42341970181632	ENSG00000137449	protein_coding	chr4	15002674	15070153	chr4:15002674	CPEB2	protein_coding	chr4	15002481	15070153	chr4:15002481	ENSG00000137449
CPEB3	2.651808	3.316115	3.003498	3.003498	ENSG00000107864	protein_coding	chr10	92046692	92291087	chr10:92046692	CPEB3	protein_coding	chr10	92046692	92291078	chr10:92046692	ENSG00000107864
CPEB4	8.388066	8.889244	9.238516	8.889244	ENSG00000113742	protein_coding	chr5	173888280	173961976	chr5:173888280	CPEB4	protein_coding	chr5	173888349	173961980	chr5:173888349	ENSG00000113742
CPLX1	9.38303	10.2358	9.62923	9.62923	ENSG00000168993	protein_coding	chr4	784957	826198	chr4:784957	CPLX1	protein_coding	chr4	784957	826129	chr4:784957	ENSG00000168993
CPNE1	51.99333	50.73665	52.84844	51.99333	ENSG00000214078	protein_coding	chr20	35626031	35664956	chr20:35626031	CPNE1	protein_coding	chr20	35626031	35664956	chr20:35626031	ENSG00000214078
CPNE2	4.782421	5.803381	6.50218	5.803381	ENSG00000140848	protein_coding	chr16	57092537	57148367	chr16:57092537	CPNE2	protein_coding	chr16	57092583	57148369	chr16:57092583	ENSG00000140848
CPNE3	62.47054	70.51977	72.35361	70.51977	ENSG00000085719	protein_coding	chr8	86484830	86561498	chr8:86484830	CPNE3	protein_coding	chr8	86514435	86561498	chr8:86514435	ENSG00000085719
CPNE7	39.7847	37.7975	38.8568	38.8568	ENSG00000178773	protein_coding	chr16	89575768	89597246	chr16:89575768	CPNE7	protein_coding	chr16	89575758	89597246	chr16:89575758	ENSG00000178773
CPOX	19.0582	19.739	20.1736	19.739	ENSG00000080819	protein_coding	chr3	98521132	98593723	chr3:98521132	CPOX	protein_coding	chr3	98579446	98593648	chr3:98579446	ENSG00000080819
CPPED1	6.34935	6.60997	6.96079	6.60997	ENSG00000103381	protein_coding	chr16	12659799	12804017	chr16:12659799	CPPED1	protein_coding	chr16	12659799	12803887	chr16:12659799	ENSG00000103381
CPSF1	20.9102	21.22593	24.67931	21.22593	ENSG00000071894	protein_coding	chr8	144393229	144409349	chr8:144393229	CPSF1	protein_coding	chr8	144393229	144409335	chr8:144393229	ENSG00000071894
CPSF2	25.732	28.6872	29.2661	28.6872	ENSG00000165934	protein_coding	chr14	92121937	92172145	chr14:92121937	CPSF2	protein_coding	chr14	92121969	92172145	chr14:92121969	ENSG00000165934
CPSF3	42.352819	45.801246	48.81351	45.801246	ENSG00000119203	protein_coding	chr2	9423568	9473101	chr2:9423568	CPSF3	protein_coding	chr2	9423651	9473101	chr2:9423651	ENSG00000119203
CPSF3L	62.748416	64.3329541	66.20798	64.3329541	ENSG00000127054	protein_coding	chr1	1311585	1324691	chr1:1311585	INTS11	protein_coding	chr1	1311585	1324687	chr1:1311585	ENSG00000127054
CPSF4	36.86024	39.36967	39.55058	39.36967	ENSG00000160917	protein_coding	chr7	99438922	99457371	chr7:99438922	CPSF4	protein_coding	chr7	99438922	99457373	chr7:99438922	ENSG00000160917
CPSF6	55.57627	63.10262	61.3066	61.3066	ENSG00000111605	protein_coding	chr12	69239537	69274358	chr12:69239537	CPSF6	protein_coding	chr12	69239569	69274358	chr12:69239569	ENSG00000111605
CPSF7	68.723215	70.839084	75.55054	70.839084	ENSG00000149532	protein_coding	chr11	61402641	61430031	chr11:61402641	CPSF7	protein_coding	chr11	61402641	61430031	chr11:61402641	ENSG00000149532
CPT1A	69.653194284	79.08395	87.4303300004805	79.08395	ENSG00000110090	protein_coding	chr11	68754620	68844410	chr11:68754620	CPT1A	protein_coding	chr11	68754620	68844410	chr11:68754620	ENSG00000110090
CPT1B	6.49081094	5.547080242881	4.6164167	5.547080242881	ENSG00000205560	protein_coding	chr22	50568861	50578465	chr22:50568861	CPT1B	protein_coding	chr22	50568861	50578465	chr22:50568861	ENSG00000205560
CPT1C	0.9907187	1.016222	1.1882841	1.016222	ENSG00000169169	protein_coding	chr19	49690898	49713731	chr19:49690898	CPT1C	protein_coding	chr19	49690898	49713731	chr19:49690898	ENSG00000169169
CPT2	20.083	21.8896	21.6966	21.6966	ENSG00000157184	protein_coding	chr1	53196429	53214197	chr1:53196429	CPT2	protein_coding	chr1	53196792	53214197	chr1:53196792	ENSG00000157184
CPTP	36.9151	40.1819	43.1095	40.1819	ENSG00000224051	protein_coding	chr1	1324756	1328897	chr1:1324756	CPTP	protein_coding	chr1	1324756	1328896	chr1:1324756	ENSG00000224051
CRABP2	1.138355	1.332593	1.004532	1.138355	ENSG00000143320	protein_coding	chr1	156699606	156705816	chr1:156699606	CRABP2	protein_coding	chr1	156699606	156705816	chr1:156699606	ENSG00000143320
CRACR2B	33.947634	36.318912	37.25145	36.318912	ENSG00000177685	protein_coding	chr11	826144	831991	chr11:826144	CRACR2B	protein_coding	chr11	826144	831991	chr11:826144	ENSG00000177685
CRADD	10.337313	11.30749	10.539926	10.539926	ENSG00000169372	protein_coding	chr12	93677375	93894840	chr12:93677375	CRADD	protein_coding	chr12	93677375	93894840	chr12:93677375	ENSG00000169372
CRAMP1	6.571912	6.970209	7.009049	6.970209	ENSG00000007545	protein_coding	chr16	1612325	1677908	chr16:1612325	CRAMP1	protein_coding	chr16	1612337	1677908	chr16:1612337	ENSG00000007545
CRAT	3.58013	3.23653	3.688107	3.58013	ENSG00000095321	protein_coding	chr9	129094810	129111189	chr9:129094810	CRAT	protein_coding	chr9	129094142	129111189	chr9:129094142	ENSG00000095321
CRB3	31.467115	27.612181	30.361033	30.361033	ENSG00000130545	protein_coding	chr19	6463777	6467221	chr19:6463777	CRB3	protein_coding	chr19	6463777	6467221	chr19:6463777	ENSG00000130545
CRBN	19.30711	23.27111	23.874207	23.27111	ENSG00000113851	protein_coding	chr3	3148992	3179710	chr3:3148992	CRBN	protein_coding	chr3	3144628	3179727	chr3:3144628	ENSG00000113851
CRCP	21.879783	22.655882	22.283225	22.283225	ENSG00000241258	protein_coding	chr7	66114604	66154568	chr7:66114604	CRCP	protein_coding	chr7	66114604	66154568	chr7:66114604	ENSG00000241258
CREB1	17.278479	21.30962	23.29669	21.30962	ENSG00000118260	protein_coding	chr2	207529737	207603431	chr2:207529737	CREB1	protein_coding	chr2	207529737	207605988	chr2:207529737	ENSG00000118260
